ID,Claim,Exact evidence,Population,Endpoint and weighting,Uncertainty,Qualification
C1,Small nonzero interface shift,results/results.json#/contrasts/primary/MEMBRANE_INTERFACE-TM_CORE,437 matched proteins; 260 resolved + 1 pooled group; 186 blocks,"C-alpha local agreement minus pLDDT/100; cell-mass weights, equal proteins within equal operational groups","+0.583 [+0.234, +0.969] points; 97.5% marginal",Excludes zero; does not establish a >=5-point departure
C2,No material regional departure established,results/results.json#/decision; protocol.json#/planning/material_difference,Interface 437; structured extra 229; separately matched,"C-alpha local agreement minus pLDDT/100; cell-mass weights, equal proteins within equal operational groups","+0.065 [-0.809, +0.940] points for extra-core",Neither entire adjusted interval beyond +/-5; no formal equivalence claim or universal absence
C3,Protein-independent validation relative to v0.1,development_sequences.json; proteins.json; audit/independent_reproduction.json#/overlap,All 554 versus all 174 accepted development proteins,"Identity/alias, experimental-entry and construct exclusion audit",Zero observed overlaps under frozen identifiers,Not proof of absence of AFDB training/template/homolog exposure; family-novel is an operational subset
C4,Primary inference is on common support,tables/support_balance.csv; matched_sets.json; feasibility.json,Contrast-specific HELIX/SHEET support,"C-alpha local agreement minus pLDDT/100; cell-mass weights, equal proteins within equal operational groups",Raw retention 79.31% / 38.46%; effective mass 45.27% / 23.81%,Denominator excludes non-structured and depth-gap residues before matching; no extrapolation to discarded residues
C5,Operational groups and dependence blocks serve distinct roles,groups.json; audit/independent_reproduction.json#/group_reconstruction_scope,Union of 174 development and 554 validation records for grouping,Equal operational groups in point estimate; whole dependence blocks resampled; curated-homology sensitivity changes weights,"20,000 PCG64 block draws; ratio of sampled group sums to counts",Not proven evolutionary families; resolved includes annotation-or-edge; broad/strict mappings and sequence edge derivation not independently rerun
C6,Exact sequence does not establish matching biological state,tables/descriptive_cases.csv; proteins.json#/records; source_investigation.json,198 whole-cohort exact-sequence cases; 152/75 matched,Canonical sequence equals construct; descriptive case means separate,Exact-subset estimates in tables/sensitivity_effects.csv,"Assembly, ligand, membrane, conformation and observability can differ despite identical sequence"
C7,Large discrepancies motivate descriptive investigations,tables/descriptive_cases.csv; provenance/source_investigation.json,Eight largest absolute all-residue protein mean errors selected after outcomes,Unmatched equal-residue protein means,Descriptive; no intervals; 13 raw-column checks total including five scalar cases,"Experimental titles establish context, not an AFDB alternative state or causal mechanism"
C8,Prospectively frozen analysis protocol,provenance/original_PRE_OUTCOME_FREEZE.json; unseal_receipt.json; provenance/registration_search.json,"Existing v0.2 protocol, cohort, covariates, matching and scientific code",Git freeze 5deb8f9abc345d811e0e98680b6122b4046a0d0d,Git/source hash evidence; public searches 2026-09-09 found no registration,Local Git chronology is not independently timestamped external preregistration; private/unindexed records cannot be excluded
C9,Independent statistical reproduction agrees,audit/independent_reproduction.json; audit/independent_bootstrap_draws.npz,Two primary contrasts; four rebuilt matching scenarios; 36 scenario point estimates,"Separate implementation with same frozen inputs, specified RNG and estimand",Absolute numerical tolerance 1e-12,All-554 compact metric replay uses existing vectorized metric; scalar metric check only 5/2341 and stored raw-column evidence 13/4716
C10,No frozen method-sensitivity flag fired,results/results.json#/sensitivity_flags; tables/sensitivity_effects.csv,11 prespecified sensitivities; seven feed the material-decision rule,Scenario-specific support/weights,Retained 97.5% marginal intervals for the two contrasts; no across-scenario adjustment,Flag requires >=5-point shift with sign crossing or reversal of established material direction; absence of flag is not method interchangeability
C11,Five-point materiality is investigator chosen,protocol.json#/planning; provenance/original_design.md,Frozen matched endpoint,Symmetric margin of 0.05 in unit-interval score,Rough planning precision illustration only,"No validated biological, measurement-error or utility threshold documented; no retrospective rationale added"
